                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76369,                0.64555,                  1.023,                 0.9641,                0.97593,                0.95428,                0.76549,                0.80207,                0.66985,                 1.0043,              0.0012132,              0.0012132,              0.0012132
                     36,                0.77717,                 0.6333,                0.99226,                0.96812,                0.97593,                0.95637,                0.77418,                 0.7843,                 0.6609,                 1.0118,              0.0011994,              0.0011994,              0.0011994
                     37,                0.78209,                0.64148,                 1.0147,                0.95474,                0.97593,                0.95134,                0.74542,                 0.8056,                0.63428,                 1.0345,              0.0011857,              0.0011857,              0.0011857
                     38,                0.78332,                0.68997,                 1.0221,                0.95624,                0.97593,                0.95095,                0.73494,                0.84247,                0.62888,                 1.0232,              0.0011719,              0.0011719,              0.0011719
                     39,                0.77175,                0.62179,                 1.0023,                 0.9348,                0.97294,                 0.9476,                0.76403,                0.78803,                0.62799,                 1.0118,              0.0011581,              0.0011581,              0.0011581
                     40,                0.75126,                0.63913,                0.99727,                0.93458,                0.90216,                0.92558,                 0.7012,                0.91951,                 0.7449,                 1.0331,              0.0011444,              0.0011444,              0.0011444
                     41,                0.77408,                0.62137,                 1.0197,                0.91632,                0.97593,                0.94409,                0.73477,                0.84785,                0.67308,                 1.0108,              0.0011306,              0.0011306,              0.0011306
                     42,                0.72806,                0.63209,                0.99075,                0.97264,                0.97593,                0.95404,                0.73548,                0.88843,                0.62971,                 1.0303,              0.0011169,              0.0011169,              0.0011169
                     43,                0.75013,                0.62479,                0.98593,                0.96308,                0.97593,                0.95419,                0.76417,                0.76044,                0.60612,                0.99917,              0.0011031,              0.0011031,              0.0011031
                     44,                0.72486,                0.60696,                0.97247,                0.96525,                0.97166,                0.95493,                0.77691,                0.75111,                0.59602,                 1.0058,              0.0010894,              0.0010894,              0.0010894
                     45,                0.66998,                 0.5483,                0.97096,                0.97268,                0.97593,                0.95458,                 0.7414,                0.87533,                 0.6135,                 1.0204,              0.0010756,              0.0010756,              0.0010756
                     46,                0.80878,                0.62461,                 1.0461,                0.95264,                0.97593,                0.95021,                0.76739,                0.76536,                0.60908,                 1.0007,              0.0010619,              0.0010619,              0.0010619
                     47,                0.75041,                0.58186,                0.98841,                0.94535,                0.96773,                 0.9509,                0.75757,                0.82187,                0.64165,                 1.0231,              0.0010481,              0.0010481,              0.0010481
                     48,                0.76878,                0.61358,                0.98536,                0.91795,                0.96743,                0.94312,                0.75676,                0.79383,                0.62626,                 1.0087,              0.0010344,              0.0010344,              0.0010344
                     49,                0.72104,                0.57061,                 1.0008,                0.94743,                0.97593,                0.95719,                0.77652,                0.75482,                0.60188,                   1.01,              0.0010206,              0.0010206,              0.0010206
                     50,                0.72372,                0.58982,                0.96451,                0.96185,                0.97593,                0.95785,                0.78491,                0.74617,                0.56541,                0.98129,              0.0010069,              0.0010069,              0.0010069
                     51,                0.70401,                0.56053,                0.96297,                0.95997,                0.97593,                 0.9569,                0.77443,                0.75726,                0.56726,                0.97819,             0.00099312,             0.00099312,             0.00099312
                     52,                 0.7173,                0.55894,                0.97921,                 0.9715,                0.97038,                0.95566,                0.78257,                0.74005,                0.56192,                0.97019,             0.00097936,             0.00097936,             0.00097936
                     53,                0.69047,                 0.5631,                0.96421,                0.96585,                0.97516,                0.95601,                0.75933,                0.81312,                0.57154,                0.99626,             0.00096561,             0.00096561,             0.00096561
                     54,                0.68584,                0.55843,                0.95602,                0.95962,                0.97593,                0.95555,                0.76779,                0.76298,                0.57189,                0.98811,             0.00095186,             0.00095186,             0.00095186
                     55,                0.68734,                0.53521,                0.95424,                0.97336,                0.97593,                 0.9561,                0.78929,                0.74481,                0.55771,                0.97499,              0.0009381,              0.0009381,              0.0009381
                     56,                 0.7166,                0.54392,                0.96402,                0.97291,                0.97421,                0.95846,                0.78816,                0.76703,                0.53155,                0.97522,             0.00092435,             0.00092435,             0.00092435
                     57,                0.68654,                0.55456,                0.96932,                0.96326,                 0.9732,                0.96219,                0.78802,                0.75738,                0.53524,                0.96767,              0.0009106,              0.0009106,              0.0009106
                     58,                0.65735,                0.55908,                0.97769,                0.92545,                0.97593,                0.95241,                0.77475,                0.72993,                0.55227,                0.98346,             0.00089685,             0.00089685,             0.00089685
                     59,                0.69714,                0.56926,                0.99138,                0.92417,                0.96964,                0.94936,                0.76506,                 0.7558,                0.57546,                0.99626,             0.00088309,             0.00088309,             0.00088309
                     60,                0.68004,                0.52264,                 0.9814,                0.95889,                0.97121,                0.95752,                0.77208,                 0.7714,                0.56692,                0.98049,             0.00086934,             0.00086934,             0.00086934
                     61,                0.63758,                0.50718,                0.95639,                0.95891,                0.97391,                0.95685,                0.77591,                0.78841,                0.54943,                 0.9834,             0.00085559,             0.00085559,             0.00085559
                     62,                0.68557,                0.53578,                0.97775,                0.96204,                0.97593,                0.95647,                0.78442,                0.76125,                0.54603,                 0.9768,             0.00084184,             0.00084184,             0.00084184
                     63,                0.71992,                0.57634,                 1.0087,                0.96493,                0.97593,                0.95555,                0.79042,                0.73051,                0.54247,                0.96746,             0.00082808,             0.00082808,             0.00082808
                     64,                0.70441,                0.54023,                0.97181,                0.96481,                0.97332,                0.95408,                0.78655,                0.73237,                0.54824,                0.97111,             0.00081433,             0.00081433,             0.00081433
                     65,                0.66309,                0.50927,                0.95084,                0.95186,                0.97284,                 0.9524,                0.76595,                0.76988,                0.54183,                0.98567,             0.00080058,             0.00080058,             0.00080058
                     66,                0.65141,                0.51227,                 0.9487,                 0.9652,                0.97593,                0.95927,                0.77793,                0.74268,                0.53384,                0.99996,             0.00078682,             0.00078682,             0.00078682
                     67,                0.68448,                0.49904,                0.94412,                0.96548,                0.97593,                0.95883,                0.77802,                0.75015,                0.53995,                 0.9938,             0.00077307,             0.00077307,             0.00077307
                     68,                0.62792,                0.50162,                0.95988,                0.97074,                0.96773,                0.95661,                0.76435,                0.79278,                0.51921,                0.98982,             0.00075932,             0.00075932,             0.00075932
                     69,                0.71062,                0.53522,                 1.0088,                0.97159,                0.97593,                 0.9554,                0.77905,                0.74742,                0.51685,                0.97735,             0.00074557,             0.00074557,             0.00074557
                     70,                0.63914,                 0.5576,                0.97439,                 0.9721,                0.97593,                 0.9543,                0.78312,                0.75335,                0.53521,                  0.986,             0.00073181,             0.00073181,             0.00073181
                     71,                0.65609,                 0.4974,                0.93667,                0.96153,                0.97579,                0.95346,                0.77737,                0.75338,                0.52924,                0.97182,             0.00071806,             0.00071806,             0.00071806
                     72,                0.62268,                0.51156,                 0.9477,                0.95927,                0.97467,                0.95382,                0.79548,                0.71221,                0.53025,                0.95838,             0.00070431,             0.00070431,             0.00070431
                     73,                0.67038,                0.49326,                0.95377,                0.96686,                0.97593,                0.95586,                0.79597,                0.71918,                0.52639,                0.95559,             0.00069055,             0.00069055,             0.00069055
                     74,                0.65967,                0.49254,                0.97557,                0.94708,                0.97593,                0.95381,                0.78781,                0.72082,                0.51649,                0.95676,              0.0006768,              0.0006768,              0.0006768
                     75,                 1.0485,                0.86684,                 1.3452,                0.96046,                0.97593,                 0.9545,                0.79426,                0.71393,                0.51381,                0.96107,             0.00066305,             0.00066305,             0.00066305
                     76,                0.64507,                0.47117,                0.92677,                0.97038,                0.97593,                0.95825,                 0.7857,                0.75986,                 0.5213,                0.97432,              0.0006493,              0.0006493,              0.0006493
                     77,                  0.639,                0.46801,                0.93641,                 0.9698,                0.97593,                0.95743,                0.79227,                0.75565,                0.52767,                0.98023,             0.00063554,             0.00063554,             0.00063554
                     78,                0.64588,                0.52098,                 0.9315,                0.97176,                0.97593,                0.95769,                0.80211,                0.70843,                0.51826,                0.96447,             0.00062179,             0.00062179,             0.00062179
                     79,                0.61748,                0.47348,                0.91363,                0.97248,                0.97593,                0.95857,                0.80055,                0.71024,                 0.5017,                0.94968,             0.00060804,             0.00060804,             0.00060804
                     80,                0.58106,                0.44324,                0.91903,                0.97244,                0.97593,                0.95702,                0.78745,                0.73429,                0.49452,                0.96463,             0.00059429,             0.00059429,             0.00059429
                     81,                0.57557,                0.47855,                0.91243,                0.96655,                0.97593,                0.95564,                0.79893,                0.71061,                0.51055,                0.95417,             0.00058053,             0.00058053,             0.00058053
                     82,                0.56008,                0.44712,                0.90249,                 0.9443,                0.97593,                0.95392,                0.79746,                0.70521,                0.53333,                0.96268,             0.00056678,             0.00056678,             0.00056678
